SAITS,USGAN,GPVAE,BRITIS,MRNN
: 0.2842,: 0.3212,: 0.5248,: 0.3175,:0.7123
: 0.2899,: 0.3188,: 0.4931,: 0.3172,:0.7133
: 0.2898,: 0.3193,: 0.5039,: 0.3184,:0.7051
: 0.2895,: 0.3181,: 0.4909,: 0.3178,:0.7102
: 0.2926,: 0.3226,: 0.4866,: 0.3187,:0.7097
: 0.2888,: 0.3206,: 0.4858,: 0.3182,:0.6973
: 0.2863,: 0.3207,: 0.4865,: 0.3185,:0.7032
: 0.2900,: 0.3196,: 0.4865,: 0.3168,:0.7109
: 0.2892,: 0.3205,: 0.4855,: 0.3179,:0.7120
: 0.2896,: 0.3193,: 0.4827,: 0.3170,:0.7126
