SAITS,USGAN,GPVAE,BRITIS,MNN
: 0.2459,: 0.2873,: 0.5070,: 0.2754,: 0.7045
: 0.2471,: 0.2851,: 0.4656,: 0.2751,: 0.7061
: 0.2439,: 0.2864,: 0.4762,: 0.2760,: 0.6982
: 0.2482,: 0.2856,: 0.4652,: 0.2754,: 0.7044
: 0.2474,: 0.2880,: 0.4624,: 0.2763,: 0.7019
: 0.2453,: 0.2870,: 0.4571,: 0.2754,: 0.6907
": 0.2471",: 0.2866,: 0.4607,: 0.2761,: 0.6993
: 0.2478,: 0.2858,: 0.4585,: 0.2751,: 0.7044
: 0.2446,: 0.2865,:0.4556,: 0.2760,: 0.7076
: 0.2462,: 0.2856,: 0.4594,: 0.2748,: 0.7064
