SAITS,USGAN,GPVAE,BRITS,MRNN
: 0.3116,: 0.3411,: 0.5382,: 0.3398,: 0.7165
: 0.3167,: 0.3389,: 0.5109,: 0.3396,: 0.7171
: 0.3186,: 0.3390,: 0.5213,: 0.3408,: 0.7090
: 0.3178,: 0.3372,: 0.5076,: 0.3405,: 0.7135
: 0.3221,: 0.3430,: 0.5029,: 0.3412,: 0.7137
: 0.3161,: 0.3407,: 0.5036,": 0.3407",: 0.7010
: 0.3135,: 0.3409,: 0.5033,: 0.3391,: 0.7054
: 0.3180,: 0.3395,: 0.5030,: 0.3394,: 0.7139
: 0.3175,: 0.3409,: 0.5006 ,: 0.3415,: 0.7143
: 0.3180,: 0.3393,: 0.5025,: 0.3400,: 0.7157
